SSE_output_unit1,SSE_output_unit2,SSE_output_unit3,SSE_output_unit4,SSE_output_unit5,SSE_output_unit6,SSE_output_unit7,SSE_output_unit8
0.8739,0.8790,0.8821,0.8725,0.8707,0.8885,0.8771,0.8682
0.8738,0.8790,0.8821,0.8724,0.8705,0.8885,0.8770,0.8680
0.8737,0.8790,0.8821,0.8722,0.8704,0.8885,0.8770,0.8679
0.8736,0.8790,0.8820,0.8721,0.8702,0.8885,0.8770,0.8677
0.8735,0.8790,0.8820,0.8719,0.8701,0.8885,0.8769,0.8676
0.8734,0.8789,0.8820,0.8718,0.8699,0.8885,0.8769,0.8674
0.8733,0.8789,0.8819,0.8716,0.8698,0.8886,0.8769,0.8673
0.8732,0.8789,0.8819,0.8715,0.8696,0.8886,0.8768,0.8671
0.8731,0.8789,0.8819,0.8713,0.8695,0.8886,0.8768,0.8669
0.8730,0.8789,0.8818,0.8712,0.8693,0.8886,0.8768,0.8668
0.8729,0.8789,0.8818,0.8710,0.8692,0.8886,0.8767,0.8666
0.8728,0.8788,0.8818,0.8708,0.8690,0.8886,0.8767,0.8664
0.8727,0.8788,0.8817,0.8707,0.8688,0.8887,0.8767,0.8663
0.8726,0.8788,0.8817,0.8705,0.8687,0.8887,0.8766,0.8661
0.8725,0.8788,0.8816,0.8703,0.8685,0.8887,0.8766,0.8659
0.8724,0.8787,0.8816,0.8702,0.8683,0.8887,0.8765,0.8657
0.8723,0.8787,0.8816,0.8700,0.8682,0.8887,0.8765,0.8655
0.8721,0.8787,0.8815,0.8698,0.8680,0.8887,0.8765,0.8654
0.8720,0.8787,0.8815,0.8696,0.8678,0.8887,0.8764,0.8652
0.8719,0.8787,0.8814,0.8694,0.8676,0.8888,0.8764,0.8650
0.8718,0.8786,0.8814,0.8692,0.8674,0.8888,0.8763,0.8648
0.8717,0.8786,0.8813,0.8691,0.8672,0.8888,0.8763,0.8646
0.8715,0.8786,0.8813,0.8689,0.8671,0.8888,0.8763,0.8644
0.8714,0.8786,0.8812,0.8687,0.8669,0.8888,0.8762,0.8642
0.8713,0.8785,0.8812,0.8684,0.8667,0.8888,0.8762,0.8640
0.8711,0.8785,0.8811,0.8682,0.8665,0.8888,0.8761,0.8638
0.8710,0.8785,0.8811,0.8680,0.8663,0.8889,0.8761,0.8635
0.8709,0.8784,0.8810,0.8678,0.8661,0.8889,0.8761,0.8633
0.8707,0.8784,0.8810,0.8676,0.8658,0.8889,0.8760,0.8631
0.8706,0.8784,0.8809,0.8674,0.8656,0.8889,0.8760,0.8629
0.8705,0.8784,0.8809,0.8671,0.8654,0.8889,0.8759,0.8627
0.8703,0.8783,0.8808,0.8669,0.8652,0.8889,0.8759,0.8624
0.8702,0.8783,0.8808,0.8667,0.8650,0.8889,0.8758,0.8622
0.8700,0.8783,0.8807,0.8664,0.8648,0.8889,0.8758,0.8620
0.8699,0.8782,0.8807,0.8662,0.8645,0.8890,0.8758,0.8617
0.8697,0.8782,0.8806,0.8660,0.8643,0.8890,0.8757,0.8615
0.8696,0.8782,0.8805,0.8657,0.8641,0.8890,0.8757,0.8612
0.8694,0.8781,0.8805,0.8654,0.8638,0.8890,0.8756,0.8610
0.8692,0.8781,0.8804,0.8652,0.8636,0.8890,0.8756,0.8607
0.8691,0.8781,0.8803,0.8649,0.8633,0.8890,0.8755,0.8604
0.8689,0.8780,0.8803,0.8646,0.8631,0.8890,0.8755,0.8602
0.8687,0.8780,0.8802,0.8644,0.8628,0.8890,0.8754,0.8599
0.8686,0.8779,0.8801,0.8641,0.8626,0.8890,0.8754,0.8596
0.8684,0.8779,0.8801,0.8638,0.8623,0.8890,0.8753,0.8594
0.8682,0.8779,0.8800,0.8635,0.8621,0.8891,0.8753,0.8591
0.8680,0.8778,0.8799,0.8632,0.8618,0.8891,0.8752,0.8588
0.8679,0.8778,0.8799,0.8629,0.8615,0.8891,0.8752,0.8585
0.8677,0.8777,0.8798,0.8626,0.8612,0.8891,0.8752,0.8582
0.8675,0.8777,0.8797,0.8623,0.8610,0.8891,0.8751,0.8579
0.8673,0.8777,0.8796,0.8620,0.8607,0.8891,0.8751,0.8576
0.8671,0.8776,0.8795,0.8617,0.8604,0.8891,0.8750,0.8573
0.8669,0.8776,0.8795,0.8613,0.8601,0.8891,0.8750,0.8570
0.8667,0.8775,0.8794,0.8610,0.8598,0.8891,0.8749,0.8566
0.8665,0.8775,0.8793,0.8607,0.8595,0.8891,0.8749,0.8563
0.8663,0.8774,0.8792,0.8603,0.8592,0.8891,0.8748,0.8560
0.8661,0.8774,0.8791,0.8600,0.8588,0.8891,0.8747,0.8556
0.8659,0.8773,0.8790,0.8596,0.8585,0.8891,0.8747,0.8553
0.8657,0.8773,0.8789,0.8592,0.8582,0.8892,0.8746,0.8549
0.8655,0.8772,0.8789,0.8589,0.8579,0.8892,0.8746,0.8546
0.8652,0.8772,0.8788,0.8585,0.8575,0.8892,0.8745,0.8542
0.8650,0.8771,0.8787,0.8581,0.8572,0.8892,0.8745,0.8539
0.8648,0.8771,0.8786,0.8577,0.8568,0.8892,0.8744,0.8535
0.8646,0.8770,0.8785,0.8573,0.8565,0.8892,0.8744,0.8531
0.8643,0.8770,0.8784,0.8569,0.8561,0.8892,0.8743,0.8527
0.8641,0.8769,0.8783,0.8565,0.8558,0.8892,0.8743,0.8523
0.8638,0.8769,0.8782,0.8560,0.8554,0.8892,0.8742,0.8519
0.8636,0.8768,0.8781,0.8556,0.8550,0.8892,0.8742,0.8515
0.8633,0.8768,0.8779,0.8552,0.8546,0.8892,0.8741,0.8511
0.8631,0.8767,0.8778,0.8547,0.8543,0.8892,0.8740,0.8507
0.8628,0.8766,0.8777,0.8542,0.8539,0.8892,0.8740,0.8502
0.8626,0.8766,0.8776,0.8538,0.8535,0.8892,0.8739,0.8498
0.8623,0.8765,0.8775,0.8533,0.8530,0.8892,0.8739,0.8494
0.8620,0.8765,0.8774,0.8528,0.8526,0.8892,0.8738,0.8489
0.8618,0.8764,0.8773,0.8523,0.8522,0.8892,0.8737,0.8485
0.8615,0.8763,0.8771,0.8518,0.8518,0.8892,0.8737,0.8480
0.8612,0.8763,0.8770,0.8513,0.8513,0.8892,0.8736,0.8475
0.8609,0.8762,0.8769,0.8508,0.8509,0.8892,0.8736,0.8470
0.8606,0.8761,0.8767,0.8502,0.8504,0.8892,0.8735,0.8465
0.8603,0.8761,0.8766,0.8497,0.8500,0.8892,0.8734,0.8460
0.8600,0.8760,0.8765,0.8491,0.8495,0.8892,0.8734,0.8455
0.8597,0.8759,0.8763,0.8486,0.8490,0.8892,0.8733,0.8450
0.8594,0.8759,0.8762,0.8480,0.8486,0.8892,0.8733,0.8445
0.8591,0.8758,0.8761,0.8474,0.8481,0.8892,0.8732,0.8440
0.8588,0.8757,0.8759,0.8468,0.8476,0.8892,0.8731,0.8434
0.8585,0.8757,0.8758,0.8462,0.8471,0.8891,0.8731,0.8429
0.8581,0.8756,0.8756,0.8456,0.8466,0.8891,0.8730,0.8423
0.8578,0.8755,0.8755,0.8449,0.8460,0.8891,0.8729,0.8417
0.8575,0.8754,0.8753,0.8443,0.8455,0.8891,0.8729,0.8411
0.8571,0.8754,0.8752,0.8436,0.8450,0.8891,0.8728,0.8405
0.8568,0.8753,0.8750,0.8430,0.8444,0.8891,0.8727,0.8399
0.8564,0.8752,0.8748,0.8423,0.8438,0.8891,0.8727,0.8393
0.8561,0.8751,0.8747,0.8416,0.8433,0.8891,0.8726,0.8387
0.8557,0.8750,0.8745,0.8409,0.8427,0.8891,0.8726,0.8381
0.8553,0.8750,0.8743,0.8401,0.8421,0.8891,0.8725,0.8374
0.8549,0.8749,0.8742,0.8394,0.8415,0.8891,0.8724,0.8367
0.8546,0.8748,0.8740,0.8386,0.8409,0.8890,0.8723,0.8361
0.8542,0.8747,0.8738,0.8379,0.8403,0.8890,0.8723,0.8354
0.8538,0.8746,0.8736,0.8371,0.8397,0.8890,0.8722,0.8347
0.8534,0.8745,0.8734,0.8363,0.8390,0.8890,0.8721,0.8340
0.8530,0.8745,0.8732,0.8354,0.8384,0.8890,0.8721,0.8333
0.8526,0.8744,0.8730,0.8346,0.8377,0.8890,0.8720,0.8325
0.8522,0.8743,0.8728,0.8337,0.8370,0.8890,0.8719,0.8318
0.8517,0.8742,0.8726,0.8329,0.8363,0.8889,0.8719,0.8310
0.8513,0.8741,0.8724,0.8320,0.8356,0.8889,0.8718,0.8302
0.8509,0.8740,0.8722,0.8311,0.8349,0.8889,0.8717,0.8294
